Class,Attribute,Characteristic,API,CT,UML / DD
AdministrationDuration,description,Inherited From,,,Duration
AdministrationDuration,quantity,Inherited From,,,Duration
AdministrationDuration,durationWillVary,Inherited From,,,Duration
AdministrationDuration,reasonDurationWillVary,Inherited From,,,Duration
AssignedPerson,personName,,personName,,personName
Duration,,,,,Duration
PersonName,,,PersonName,,PersonName
PopulationDefinition,plannedCompletionNumber,,,,plannedCompletionNumber
PopulationDefinition,plannedEnrollmentNumber,,,,plannedEnrollmentNumber
PopulationDefinition,plannedCompletionNumberRange,,,plannedCompletionNumberRange,
PopulationDefinition,plannedEnrollmentNumberRange,,,plannedEnrollmentNumberRange,
PopulationDefinition,plannedCompletionNumberQuantity,,,plannedCompletionNumberQuantity,
PopulationDefinition,plannedEnrollmentNumberQuantity,,,plannedEnrollmentNumberQuantity,
QuantityRange,,,,,QuantityRange
ResponseCode,name,,name,,name
ResponseCode,label,,label,,label
ScheduleTimeline,plannedDuration,,,,plannedDuration
Strength,numerator,,numerator,,numerator
Strength,numeratorQuantity,,,numeratorQuantity,
Strength,numeratorRange,,,numeratorRange,
Study,id,Cardinality,0..1,,1
StudyAmendment,name,,name,,name
StudyAmendment,label,,label,,label
StudyAmendment,description,,description,,description
StudyCohort,plannedCompletionNumber,,plannedCompletionNumber,,plannedCompletionNumber
StudyCohort,plannedEnrollmentNumber,,plannedEnrollmentNumber,,plannedEnrollmentNumber
StudyCohort,plannedCompletionNumberRange,,,plannedCompletionNumberRange,
StudyCohort,plannedEnrollmentNumberRange,,,plannedEnrollmentNumberRange,
StudyCohort,plannedCompletionNumberQuantity,,,plannedCompletionNumberQuantity,
StudyCohort,plannedEnrollmentNumberQuantity,,,plannedEnrollmentNumberQuantity,
StudyDesignPopulation,plannedCompletionNumber,,plannedCompletionNumber,,plannedCompletionNumber
StudyDesignPopulation,plannedEnrollmentNumber,,plannedEnrollmentNumber,,plannedEnrollmentNumber
StudyDesignPopulation,plannedCompletionNumberRange,,,plannedCompletionNumberRange,
StudyDesignPopulation,plannedEnrollmentNumberRange,,,plannedEnrollmentNumberRange,
StudyDesignPopulation,plannedCompletionNumberQuantity,,,plannedCompletionNumberQuantity,
StudyDesignPopulation,plannedEnrollmentNumberQuantity,,,plannedEnrollmentNumberQuantity,
TimelineDuration,,,,,TimelineDuration
